"Company","Role","Location","Application/Link","Date Posted"
"**[Wasabi Technologies](https://simplify.jobs/c/WasabiTech)**","Engineering Co-op","Cambridge, MA","<a href="https://jobs.lever.co/wasabi/ce2937c3-1cc1-47d8-b607-8a2a9b82f8e8/apply?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/6762d1d5-35d6-482c-9691-2f8084b0f684?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 01"
"↳","Engineering Internship","Cambridge, MA","<a href="https://jobs.lever.co/wasabi/96550457-df4c-482e-afdd-314a754df5c5/apply?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/c305e678-ab2b-40f9-b750-f9c674f87c3a?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 01"
"**[Oshkosh](https://simplify.jobs/c/Oshkosh)**","Data Analyst Intern","Oshkosh, WI","<a href="https://oshkoshcorporation.wd5.myworkdayjobs.com/Oshkosh/job/Oshkosh-Wisconsin-United-States/Data-Analyst-Intern_R22458?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/9ebb61ff-9f13-41cc-9ced-6274cf5a2d7a?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 01"
"**[EngageSmart](https://simplify.jobs/c/EngageSmart)**","Software Development Intern","Remote in USA","<a href="https://engagesmart.com/careers-invoicecloud/?gh_jid=5907508003&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/db8ea9f7-0606-48fa-9a54-a8258639f093?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 01"
"**[Take Two](https://simplify.jobs/c/Take-Two)**","Business Planning & Analytics Intern","United States","<a href="https://careers.take2games.com/job/5747811?gh_jid=5747811&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/0f5af57c-6145-4a08-a6d8-597b93e10f2d?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 29"
"**[Spotify](https://simplify.jobs/c/Spotify)**","2024 Summer Internship - Data Science - London","London, UK","<a href="https://jobs.lever.co/spotify/acc889bd-cb87-4ff4-9068-6d7feb3f4dad/apply?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/0ccba855-6025-48c3-aaff-719d5022b584?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 29"
"↳","2024 Summer Internship - Data Science - New York City","NYC","<a href="https://jobs.lever.co/spotify/0ea27b29-15f0-426f-a554-e01df66c1a1c/apply?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/86055466-cad0-428b-8f15-3c51702dab14?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 29"
"↳","2024 Summer Internship - Internal Audit & Risk - Finance - New York City","NYC","<a href="https://jobs.lever.co/spotify/db3ae666-1e64-4393-a039-1ec4e48021e2/apply?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/6cf497ed-4f44-402a-9c56-f3e0e9e7b208?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 29"
"↳","2024 Summer Internship - Growth Analyst - Audiobooks - New York City","NYC","<a href="https://jobs.lever.co/spotify/b8c963bc-9041-4bed-85a6-c746ff414ffe/apply?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/ae53870d-12d1-4739-832e-f20d3367155f?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 29"
"↳","2024 Summer Internship - Engineering - New York City","NYC","<a href="https://jobs.lever.co/spotify/5e1d6a84-cc0e-4188-be43-ffd36e934c14/apply?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/7a26d17b-2662-4ece-9ab2-671bb6f7ed0e?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 29"
