Company,Role,Location,Date,Application,link
Western Digital,Summer 2024 Software Engineering Intern,"Longmont, CO",Mar 18,https://jobs.smartrecruiters.com/WesternDigital/743999974575203?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/bd4c78d9-1ec8-4abd-9d95-e0ae16426b3c?utm_source=GHList
Vestmark,Intern – Software Engineer - Summer 2024,"Wakefield, MA",Mar 18,https://boards.greenhouse.io/vestmark/jobs/5802883?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/ff48349d-6c53-409b-8ddc-c6a273140c86?utm_source=GHList
Trumid,Technology Intern,Remote in USA,Mar 18,https://boards.greenhouse.io/trumid/jobs/5923059003?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/e4af238a-1542-41d4-9dee-acace952f984?utm_source=GHList
Square,Manufacturing Electrical Engineer Intern - 12-months,"Oakland, CA</br>Remote in USA",Mar 18,https://jobs.smartrecruiters.com/Square/743999974568935?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/a75a6316-7a0b-4c32-a95e-5ac1f13ede43?utm_source=GHList
Sensata,IT – Data Analyst Intern-Summer 2024,"Attleboro, MA",Mar 18,https://sensata.wd1.myworkdayjobs.com/en-US/Sensata-Careers/job/Attleboro-Massachusetts/IT---Data-Analyst-Intern--Summer-2024_IRC92427?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/c3f01eea-f583-4039-a91b-a60e999a7eea?utm_source=GHList
Rockwell Automation,Data Science Intern - Kalypso - Summer 2024,Remote in USA,Mar 18,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External_Rockwell_Automation/job/United-States-of-America-New-Jersey-remote/Data-Science-Intern---Kalypso--Summer-2024-_R23-10579?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/7ef2ba7e-4f56-4755-add3-a092f9a3f205?utm_source=GHList
PostEra,Machine Learning Intern 🛂,Remote,Mar 18,https://jobs.lever.co/postera/70212446-041d-4bee-94ac-06f2a1f05da6/apply?lever-source=Simplify&utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/7ef2ba7e-4f56-4755-add3-a092f9a3f205?utm_source=GHList
Leidos,Systems Engineer Intern,"Columbia, MD",Mar 18,https://leidos.wd5.myworkdayjobs.com/External/job/Columbia-MD/Systems-Engineer-Intern_R-00131360?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/e895400e-237b-490f-84b5-8e49cb0ac4d7?utm_source=GHList
Leidos,Software Engineer Intern,"Columbia, MD",Mar 18,https://leidos.wd5.myworkdayjobs.com/External/job/Columbia-MD/Software-Engineer-Intern_R-00131364?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/43ba3e36-7579-439d-bf91-de300bc5db7a?utm_source=GHList
Leidos,Cyber Analyst Intern,"Columbia, MD",Mar 18,https://leidos.wd5.myworkdayjobs.com/External/job/Columbia-MD/Cyber-Analyst-Intern_R-00131365?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/2f4a472e-06ec-4061-8c1c-cf6d40f2acb8?utm_source=GHList
Leidos,Software Engineer Intern,"Beavercreek, OH",Mar 18,https://leidos.wd5.myworkdayjobs.com/External/job/Beavercreek-OH/Software-Engineer-Intern_R-00131437?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/2e35945b-9607-4210-9636-29800ac637e2?utm_source=GHList
Dell Technologies,Software Engineer Intern - Secureworks Big Data,Remote,Mar 18,https://dell.wd1.myworkdayjobs.com/External/job/Remote---United-Kingdom/Software-Engineer-Intern---Secureworks-Big-Data_R240938?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/2a499954-5997-4834-9f20-3e30a72d8dc0?utm_source=GHList
Dell Technologies,Intern Software Engineer - Platform Engineering - Remote UK,Remote,Mar 18,https://dell.wd1.myworkdayjobs.com/External/job/Remote---United-Kingdom-Scotland/Intern-Software-Engineer---Platform-Engineering----100--Remote-UK-_R240901?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/28c2ea56-ac13-4ebd-b976-6156713ef6ae?utm_source=GHList
Crowdstrike,Operations Program Intern - Summer 2024 - Remote,Remote in USA,Mar 18,https://crowdstrike.wd5.myworkdayjobs.com/en-us/crowdstrikecareers/job/USA---Remote/Operations-Program-Intern---Summer-2024--Remote-_R17541?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/a3c15343-fc32-4fb5-bf7f-d344a7bb250e?utm_source=GHList
Crowdstrike,Software Development Engineer Co-Op (July to December 2024),"Westborough, MA",Mar 18,https://www.amazon.jobs/en/jobs/2545578/amazon-robotics-software-development-engineer-co-op-fall-2024?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/a3c15343-fc32-4fb5-bf7f-d344a7bb250e?utm_source=GHList
Visa,Associate Data Scientist – Intern - Cybersecurity,"Ashburn, VA",Mar 15,https://jobs.smartrecruiters.com/Visa/743999974161118?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/793af1fa-4cf4-48fd-baa4-82e02487442d?utm_source=GHList
SoundCloud,Finance Data Analyst Intern,NYC,Mar 15,https://boards.greenhouse.io/soundcloud71/jobs/7288613002?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/e7588977-ead9-4205-9b02-b60c66076aed?utm_source=GHList
Intel,UI Software Engineer Intern,Remote in USA,Mar 15,https://intel.wd1.myworkdayjobs.com/en-us/external/job/Virtual-US/UI-Software-Engineer-Intern_JR0260124?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/6e685f30-0856-4000-b755-20309950086a?utm_source=GHList
First American,Infosec Application Security Intern - Undergrad - Hybrid,"Orange, CA",Mar 15,https://firstam.wd1.myworkdayjobs.com/firstamericancareers/job/USA-California-Santa-Ana/InfoSec-Application-Security-Intern---Undergrad--Hybrid-_R043714?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/0f11d96f-b126-48cd-ab83-845ccdfec283?utm_source=GHList
Schonfeld,2024 Software Developer – Sophomore Summer Internship - Global Operations Technology,NYC,Mar 14,https://boards.greenhouse.io/schonfeld/jobs/5814637?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/3be565e4-8a0e-4f75-aff1-623e8637854a?utm_source=GHList
Schonfeld,2024 Sector Data Analyst Sophomore Summer Internship,NYC,Mar 14,https://boards.greenhouse.io/schonfeld/jobs/5814704?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/a02ebf2c-063b-4bbf-8149-47edff114241?utm_source=GHList
Schonfeld,2024 Software Developer – Sophomore Summer Internship - Accounting and Valuations Technology,NYC,Mar 14,https://boards.greenhouse.io/schonfeld/jobs/5814143?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/51f16290-7167-45d8-a27b-65c833da4856?utm_source=GHList
Visa,Software Test Engineer – Intern - Cybersecurity,"Austin, TX",Mar 13,https://jobs.smartrecruiters.com/Visa/743999973715683?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/788ace7c-402b-4a61-afb1-e8d0778748ec?utm_source=GHList
Skydio,Wireless Software Engineer Intern,"San Mateo, CA",Mar 13,https://www.skydio.com/jobs/5920539003?gh_jid=5920539003&utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/63c973ca-50e4-4917-911b-1089b021c0f8?utm_source=GHList
Schonfeld,2024 Software Developer – Sophomore Summer Internship - Treasury,NYC,Mar 13,https://boards.greenhouse.io/schonfeld/jobs/5805647?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/8e2e160c-a5cb-4b9c-aecf-539a9eeca672?utm_source=GHList
Lacework,Security Research Intern,United States,Mar 13,https://www.lacework.com/job-openings?gh_jid=5128649004&utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/92c5e691-3e2a-44d7-9e0d-6ed2b6f56eb5?utm_source=GHList
Intel,AI Software Engineering Undergraduate Intern,Remote in USA,Mar 13,https://intel.wd1.myworkdayjobs.com/en-us/external/job/Virtual-US/AI-Software-Engineering-Undergraduate-Intern_JR0259501-1?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/9bc6a556-df57-470d-ba40-615be35647e0?utm_source=GHList
Hewlett Packard (HP),Software Intern,"Vancouver, WA",Mar 13,https://hp.wd5.myworkdayjobs.com/ExternalCareerSite/job/Vancouver-Washington-United-States-of-America/Software-Intern_UNIV683?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/c6ac8e25-c7f7-442c-9f51-97304bcbd060?utm_source=GHList
