"Company","Role","Location","Application/Link","Date Posted"
"**[Western Digital](https://simplify.jobs/c/Western-Digital)**","Summer 2024 Software Engineering Intern","Longmont, CO","<a href="https://jobs.smartrecruiters.com/WesternDigital/743999974575203?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/bd4c78d9-1ec8-4abd-9d95-e0ae16426b3c?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 18"
"**[Vestmark](https://simplify.jobs/c/Vestmark)**","Intern – Software Engineer - Summer 2024","Wakefield, MA","<a href="https://boards.greenhouse.io/vestmark/jobs/5802883?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/ff48349d-6c53-409b-8ddc-c6a273140c86?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 18"
"**[Trumid](https://simplify.jobs/c/Trumid)**","Technology Intern","Remote in USA","<a href="https://boards.greenhouse.io/trumid/jobs/5923059003?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/e4af238a-1542-41d4-9dee-acace952f984?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 18"
"**[Square](https://simplify.jobs/c/Square)**","Manufacturing Electrical Engineer Intern - 12-months","Oakland, CA</br>Remote in USA","<a href="https://jobs.smartrecruiters.com/Square/743999974568935?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/a75a6316-7a0b-4c32-a95e-5ac1f13ede43?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 18"
"**[Sensata](https://simplify.jobs/c/sensata-tech)**","IT – Data Analyst Intern-Summer 2024","Attleboro, MA","<a href="https://sensata.wd1.myworkdayjobs.com/en-US/Sensata-Careers/job/Attleboro-Massachusetts/IT---Data-Analyst-Intern--Summer-2024_IRC92427?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/c3f01eea-f583-4039-a91b-a60e999a7eea?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 18"
"**[Rockwell Automation](https://simplify.jobs/c/Rockwell-Automation)**","Data Science Intern - Kalypso - Summer 2024","Remote in USA","<a href="https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External_Rockwell_Automation/job/United-States-of-America-New-Jersey-remote/Data-Science-Intern---Kalypso--Summer-2024-_R23-10579?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/7ef2ba7e-4f56-4755-add3-a092f9a3f205?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 18"
"**[PostEra](https://simplify.jobs/c/Postera)**","Machine Learning Intern 🛂","Remote","<a href="https://jobs.lever.co/postera/70212446-041d-4bee-94ac-06f2a1f05da6/apply?lever-source=Simplify&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/u1KNU8z.png" width="118" alt="Apply"></a>","Mar 18"
"**[Leidos](https://simplify.jobs/c/Leidos)**","Systems Engineer Intern","Columbia, MD","<a href="https://leidos.wd5.myworkdayjobs.com/External/job/Columbia-MD/Systems-Engineer-Intern_R-00131360?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/e895400e-237b-490f-84b5-8e49cb0ac4d7?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 18"
"↳","Software Engineer Intern","Columbia, MD","<a href="https://leidos.wd5.myworkdayjobs.com/External/job/Columbia-MD/Software-Engineer-Intern_R-00131364?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/43ba3e36-7579-439d-bf91-de300bc5db7a?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 18"
"↳","Cyber Analyst Intern","Columbia, MD","<a href="https://leidos.wd5.myworkdayjobs.com/External/job/Columbia-MD/Cyber-Analyst-Intern_R-00131365?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/2f4a472e-06ec-4061-8c1c-cf6d40f2acb8?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 18"
"↳","Software Engineer Intern","Beavercreek, OH","<a href="https://leidos.wd5.myworkdayjobs.com/External/job/Beavercreek-OH/Software-Engineer-Intern_R-00131437?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/2e35945b-9607-4210-9636-29800ac637e2?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 18"
"**[Dell Technologies](https://simplify.jobs/c/Dell-Technologies)**","Software Engineer Intern - Secureworks Big Data","Remote","<a href="https://dell.wd1.myworkdayjobs.com/External/job/Remote---United-Kingdom/Software-Engineer-Intern---Secureworks-Big-Data_R240938?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/2a499954-5997-4834-9f20-3e30a72d8dc0?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 18"
"↳","Intern Software Engineer - Platform Engineering - Remote UK","Remote","<a href="https://dell.wd1.myworkdayjobs.com/External/job/Remote---United-Kingdom-Scotland/Intern-Software-Engineer---Platform-Engineering----100--Remote-UK-_R240901?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/28c2ea56-ac13-4ebd-b976-6156713ef6ae?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 18"
"**[Crowdstrike](https://simplify.jobs/c/Crowdstrike)**","Operations Program Intern - Summer 2024 - Remote","Remote in USA","<a href="https://crowdstrike.wd5.myworkdayjobs.com/en-us/crowdstrikecareers/job/USA---Remote/Operations-Program-Intern---Summer-2024--Remote-_R17541?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/a3c15343-fc32-4fb5-bf7f-d344a7bb250e?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 18"
"Amazon Robotics","Software Development Engineer Co-Op (July to December 2024)","Westborough, MA","<a href="https://www.amazon.jobs/en/jobs/2545578/amazon-robotics-software-development-engineer-co-op-fall-2024?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/u1KNU8z.png" width="118" alt="Apply"></a>","Mar 18"
"**[Visa](https://simplify.jobs/c/Visa)**","Associate Data Scientist – Intern - Cybersecurity","Ashburn, VA","<a href="https://jobs.smartrecruiters.com/Visa/743999974161118?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/793af1fa-4cf4-48fd-baa4-82e02487442d?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 15"
