Company,Role,Location,Terms,Date Posted,Application,link
Hewlett Packard (HP),Associate Software Developer – Co-op position - Saas Services,"Burnaby, BC, Canada",Spring 2024,Feb 07,https://hp.wd5.myworkdayjobs.com/ExternalCareerSite/job/Burnaby-British-Columbia-Canada/Associate-Software-Developer---SaaS-Services--Co-op-position-_3130072-1?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/7d1569c8-524b-4bf9-8034-dcc5d9206851?utm_source=GHList
Hewlett Packard (HP),Associate Software Developer in Test – Co-op position - System Team,"Burnaby, BC, Canada",Spring 2024,Feb 07,https://hp.wd5.myworkdayjobs.com/ExternalCareerSite/job/Burnaby-British-Columbia-Canada/Associate-Software-Developer-in-Test---System-Team--Co-op-position-_3130061-1?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/f73fe346-6f7c-46e0-b9ed-0847bd98701a?utm_source=GHList
Hewlett Packard (HP),Associate Software Developer – Co-op position,"Burnaby, BC, Canada",Spring 2024,Feb 07,https://hp.wd5.myworkdayjobs.com/ExternalCareerSite/job/Burnaby-British-Columbia-Canada/Associate-Software-Developer--Co-op-position-_3130110-2?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/8587a230-be9c-4cc7-b528-1c7b3f0aac77?utm_source=GHList
Digital.ai,Intern – Quality Engineering for Automation,Remote in USA,Spring 2024,Feb 07,https://digital.ai/current-job-openings?gh_jid=5836799003&utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/74e59e04-0420-43bf-a2ff-9ce2f465a0c4?utm_source=GHList
ConnectWise,Intern 2024 - Data Analytics,"Tampa, FL","Spring 2024, Summer 2024",Feb 07,https://boards.greenhouse.io/connectwise/jobs/4357146005?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/2fb9c6e3-f6c6-4460-86c9-7af80ff841bf?utm_source=GHList
ConnectWise,Intern 2024 - Product/Engineering,"Tampa, FL","Spring 2024, Summer 2024",Feb 07,https://boards.greenhouse.io/connectwise/jobs/4357150005?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/ed0db53c-45f6-4f5f-b8ea-0d570e645c0e?utm_source=GHList
Columbia Sportswear Company,Digital Experience Engineer Intern,"Portland, OR","Spring 2024, Summer 2024",Feb 07,https://columbiasportswearcompany.wd5.myworkdayjobs.com/en-US/CSC_Careers/job/Portland-Oregon-United-States-of-America/Digital-Experience-Engineer-Intern_R-009006-1?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/47c6a6e1-e7a4-4b11-8e11-3b3c5dad440e?utm_source=GHList
Mercury,Software Engineering Intern,"<details><summary>**5 locations**</summary>SF</br>Canada</br>Remote in USA</br>NYC</br>Portland, OR</details>","Spring 2024, Summer 2024",Feb 06,https://boards.greenhouse.io/mercury/jobs/5072115004?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/667813ce-b3bb-4aa4-9c59-a2170a2efd1e?utm_source=GHList
Western Digital,Advanced Manufacturing Apprentice,"Fremont, CA",Spring 2024,Feb 05,https://jobs.smartrecruiters.com/WesternDigital/743999965654172?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/b84301fb-e173-45b1-a080-82f5e444af44?utm_source=GHList
Western Digital,Advanced Manufacturing Apprentice,"Fremont, CA",Spring 2024,Feb 05,https://jobs.smartrecruiters.com/WesternDigital/743999965653314?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/f92f1912-544f-4705-8a73-51c74ba76f89?utm_source=GHList
Leidos,Engineering Intern,"Huntsville, AL",Fall 2024,Feb 05,https://leidos.wd5.myworkdayjobs.com/External/job/Huntsville-AL/Engineering-Intern_R-00128315-1?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/88828006-2861-4d51-902f-1c92a3806c08?utm_source=GHList
Kinaxis,Co-Op/Intern Test Developer - AI Integration,"Ottawa, ON, Canada",Spring 2024,Feb 05,https://boards.greenhouse.io/kinaxis/jobs/7164301002?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/7926e7f0-b54d-4356-b0e7-af5b7bd62f24?utm_source=GHList
HubSpot,Hubspot Software Engineer Fall Co-op Program - USA,"Cambridge, MA",Fall 2024,Feb 05,https://www.hubspot.com/careers/jobs/5622460?gh_jid=5622460&utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/32ae6e00-df7b-4e07-866f-aea9848d9dc0?utm_source=GHList
HubSpot,Hubspot Software Engineer Fall Co-op Program - USA,Remote in USA,Fall 2024,Feb 05,https://www.hubspot.com/careers/jobs/5622458?gh_jid=5622458&utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/62cba481-24bf-4e73-8bdd-f99fea8fca59?utm_source=GHList
HubSpot,"Summer Intern (US) - Frontend, Backend, Mobile & more","Remote, US","Spring 2024, Summer 2024",Feb 03,https://ouryahoo.wd5.myworkdayjobs.com/careers/job/United-States-of-America---Remote/Yahoo-Summer-Intern--US----Sports--Finance--Mail---More-_JR0023139?utm_source=Simplify&ref=Simplify,
BambooHR,AI Engineering / Data Science Intern,Utah,"Spring 2024, Summer 2024",Feb 03,https://boards.greenhouse.io/bamboohr17/jobs/5072441004?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/60fc3a41-fabb-44bb-a46e-763c362394d2?utm_source=GHList
Penumbra Inc,Statistical Programmer Analyst Intern - T,Remote in USA,Winter 2024,Feb 01,https://jobs.lever.co/penumbrainc/02e2ed2c-dcbe-41fa-b323-20c30eeadb4f/apply?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/0c897db7-02a3-4c76-ad47-ac5f9b7a2a5e?utm_source=GHList
BambooHR,Systems Administrator Intern,Utah,Fall 2024,Feb 01,https://boards.greenhouse.io/bamboohr17/jobs/5049867004?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/a28ad677-5cf3-4ee4-9610-0c4a20031e5d?utm_source=GHList
Addepar,Software Engineer Intern - Onboarding Experience - US,Remote in USA,"Spring 2024, Summer 2024",Feb 01,https://boards.greenhouse.io/addepar1/jobs/7118911002?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/42b7b5db-c2d1-499e-8c98-8ab52952c928?utm_source=GHList
TripAdvisor,Software Engineering Intern x5 - Viator,"Oxford, UK","Summer 2024, Fall 2024",Jan 31,https://boards.greenhouse.io/tripadvisor/jobs/5662036?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/f1544c33-c025-4f4a-9beb-3f7ada8f981c?utm_source=GHList
PsiQuantum,Intern – Quantum Applications,"Palo Alto, CA",Spring 2024,Jan 31,https://www.psiquantum.com/apply?gh_jid=5862116003&utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/dcebb555-3dc8-4dd3-9823-3cdcad5a7b6e?utm_source=GHList
Moloco,Software Engineer Intern,United States,"Spring 2024, Summer 2024, Fall 2024",Jan 29,https://boards.greenhouse.io/moloco/jobs/5870606003?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/9ed53ed0-6ab0-48b1-974a-4fffd5732a2a?utm_source=GHList
Moloco,Machine Learning Engineer Intern,United States,"Spring 2024, Summer 2024, Fall 2024",Jan 29,https://boards.greenhouse.io/moloco/jobs/5870560003?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/a7781ca5-0d22-4a17-a592-84ec206da31e?utm_source=GHList
Kinaxis,Co-Op/Intern Developer - Machine Learning,Canada,Spring 2024,Jan 29,https://boards.greenhouse.io/kinaxis/jobs/7115849002?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/85dd44af-0924-48d0-a01f-3df23a0077ce?utm_source=GHList
BambooHR,Product IT Intern,Remote in USA</br>Utah,Fall 2024,Jan 26,https://boards.greenhouse.io/bamboohr17/jobs/5056533004?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/3506ec97-87f9-4a73-894f-724391c5c093?utm_source=GHList
Kinaxis,Co-Op/Intern Performance Test Developer,"Ottawa, ON, Canada",Spring 2024,Jan 25,https://boards.greenhouse.io/kinaxis/jobs/7111505002?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/f02db2b3-08c8-4514-9cf2-8fff84f5936b?utm_source=GHList
Addepar,Software Engineer Intern - Data Science / ADM - US,Remote in USA,"Spring 2024, Summer 2024",Jan 25,https://boards.greenhouse.io/addepar1/jobs/7110336002?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/20f8dc89-e99f-43a0-ab8e-8faaab0acc09?utm_source=GHList
Addepar,Software Engineer Intern - Data Architecture - Edi,"Edinburgh, UK","Spring 2024, Summer 2024",Jan 25,https://boards.greenhouse.io/addepar1/jobs/7107035002?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/7222bd03-0f6b-4df5-beb8-6bed81ee1559?utm_source=GHList
Addepar,Software Engineer Intern - Trading - Edi,"Edinburgh, UK","Spring 2024, Summer 2024",Jan 25,https://boards.greenhouse.io/addepar1/jobs/7107037002?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/68013f87-5d62-40a6-adc3-5e4a9f4c8819?utm_source=GHList
Addepar,Software Engineer Intern - Platform Services - US,Remote in USA,"Spring 2024, Summer 2024",Jan 25,https://boards.greenhouse.io/addepar1/jobs/7106863002?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/9610e992-b7b4-49a9-ad47-bc80cb50b0cb?utm_source=GHList
Addepar,Software Engineer Intern - Precompute - US,Remote in USA,"Spring 2024, Summer 2024",Jan 24,https://boards.greenhouse.io/addepar1/jobs/7107034002?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/a16100b5-02bf-422d-b4ab-65bff7a9691f?utm_source=GHList
Kinaxis,Co-Op/Intern Developer - Machine Learning - QA,"Ottawa, ON, Canada",Spring 2024,Jan 23,https://boards.greenhouse.io/kinaxis/jobs/7108088002?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/e72cd2a4-4584-4d76-ad50-caeec39de962?utm_source=GHList
